CD_BAIRRO,NM_BAIRRO,V05000,V05001,V05002,V05003,V05004,V05005,V05006,V05007,V05008,V05009,V05010,V05011,V05012,V05013,V05014,V05015,V05016,V05017,V05018,V05019,V05020,V05021,V05022,V05023,V05024,V05025,V05026,V05027,V05028,V05029,V05030,V05031,V05032,V05033,V05034
3304557001,Centro,12953,12338,213,402,0,0,12953,0,0,12885,68,0,12952,1,0,4401,8552,0,108,12845,0,12949,4,0,2180,10769,4,7260,5689,4,4339,3005,2361,3248,0
3304557002,Gamboa,4636,2416,351,1869,0,0,4559,77,0,2742,1894,0,4345,291,0,222,4414,0,62,4574,0,2791,1845,0,2274,517,1845,306,2485,1845,4015,479,140,2,0
3304557003,Santo Cristo,3798,2949,598,251,0,0,3670,128,0,2616,1182,0,3695,103,0,121,3677,0,7,3791,0,3406,392,0,2609,797,392,289,3117,392,2644,692,124,338,0
3304557004,Caju,9464,4174,1343,3931,0,16,9424,24,16,6494,2954,16,8936,512,16,335,9113,16,30,9418,16,2539,6909,16,2301,238,6925,72,2467,6925,7118,652,442,1236,16
3304557005,Catumbi,4718,1950,815,1952,0,1,4714,3,1,4037,680,1,4658,59,1,960,3757,1,0,4717,1,2764,1953,1,804,1960,1954,287,2477,1954,3189,567,330,631,1
3304557006,Rio Comprido,16167,11269,530,4214,0,154,15737,276,154,13325,2688,154,15649,364,154,5649,10364,154,6,16007,154,11685,4328,154,4959,6726,4482,930,10755,4482,8033,2112,1395,4473,154
3304557007,Cidade Nova,1921,1149,679,93,0,0,1921,0,0,1855,66,0,1921,0,0,394,1527,0,0,1921,0,1921,0,0,136,1785,0,1322,599,0,481,301,436,703,0
3304557008,Estácio,8146,5307,489,2335,0,15,7862,269,15,6553,1578,15,8059,72,15,2077,6054,15,0,8131,15,4965,3166,15,1704,3261,3181,1320,3645,3181,5262,609,470,1790,15
3304557009,Flamengo,21664,20790,670,204,0,0,21664,0,0,21472,192,0,21664,0,0,6319,15345,0,1510,20154,0,21283,381,0,2889,18394,381,12266,9017,381,1183,2105,4559,13817,0
3304557010,Glória,3823,3690,132,1,0,0,3823,0,0,3656,167,0,3823,0,0,321,3502,0,194,3629,0,3776,47,0,626,3150,47,1922,1854,47,254,367,296,2906,0
3304557011,Laranjeiras,18183,17924,78,45,0,136,18047,0,136,18029,18,136,18010,37,136,4614,13433,136,7382,10665,136,17877,170,136,10548,7329,306,5249,12628,306,976,2292,1435,13344,136
