"conjunto_dados","coluna","tipo_dado","unidade_medida","natureza_dado","descricao","regra_origem"
"MonitorAr-Rio (Bruto)","objectid","Inteiro","—","Real (2024)","Identificador sequencial único do registro no banco ArcGIS da PCRJ","Camada FeatureServer/2 do MonitorAr-Rio"
"MonitorAr-Rio (Bruto)","data","Datetime","ISO 8601","Real (2024)","Data e hora da medição em fuso horário local GMT-3","Registro de timestamp original da estação"
"MonitorAr-Rio (Bruto)","codnum","Inteiro","—","Real (2024)","Código numérico identificador da estação de monitoramento","MonitorAr-Rio"
"MonitorAr-Rio (Bruto)","estação","Texto","—","Real (2024)","Sigla de duas letras da estação (AV, BG, CA, CG, IR, PG, SC, SP)","MonitorAr-Rio"
"MonitorAr-Rio (Bruto)","chuva","Float","mm","Real (2024)","Precipitação pluviométrica horária acumulada","Sensor meteorológico da estação"
"MonitorAr-Rio (Bruto)","pres","Float","mbar","Real (2024)","Pressão atmosférica local no nível da estação","Sensor meteorológico da estação"
"MonitorAr-Rio (Bruto)","rs","Float","W/m²","Real (2024)","Radiação solar global incidente","Piranômetro da estação"
"MonitorAr-Rio (Bruto)","temp","Float","°C","Real (2024)","Temperatura do ar ambiente","Termômetro da estação"
"MonitorAr-Rio (Bruto)","ur","Float","%","Real (2024)","Umidade relativa do ar ambiente","Higrômetro da estação"
"MonitorAr-Rio (Bruto)","dir_vento","Float","Graus (°)","Real (2024)","Direção predominante do vento (0° a 360°)","Anemômetro da estação"
"MonitorAr-Rio (Bruto)","vel_vento","Float","m/s","Real (2024)","Velocidade do vento","Anemômetro da estação"
"MonitorAr-Rio (Bruto)","pm10","Float","µg/m³","Real (2024)","Concentração horária de Partículas Inaláveis (diâmetro aerodinâmico <= 10 µm)","Analisador contínuo de partículas"
"MonitorAr-Rio (Bruto)","pm2_5","Float","µg/m³","Real (2024)","Concentração horária de Partículas Respiráveis Finas (diâmetro aerodinâmico <= 2.5 µm)","Analisador contínuo de partículas"
"MonitorAr-Rio (Bruto)","o3","Float","µg/m³","Real (2024)","Concentração horária de Ozônio troposférico","Fotômetro de absorção UV"
"MonitorAr-Rio (Bruto)","no2","Float","µg/m³","Real (2024)","Concentração horária de Dióxido de Nitrogênio","Analisador por quimioluminescência"
"MonitorAr-Rio (Bruto)","co","Float","ppm","Real (2024)","Concentração horária de Monóxido de Carbono","Analisador por absorção infravermelha (NDIR)"
"MonitorAr-Rio (Bruto)","so2","Float","µg/m³","Real (2024)","Concentração horária de Dióxido de Enxofre","Analisador por fluorescência UV"
"MonitorAr-Rio (Bruto)","lat","Float","Graus Decimais","Real","Latitude geográfica WGS84 da estação fixa","Cadastro técnico do MonitorAr"
