objectid,data,codnum,estação,chuva,pres,rs,temp,ur,dir_vento,vel_vento,so2,no2,hcnm,hct,ch4,co,no,nox,o3,pm10,pm2_5,lat,lon,x_utm_sirgas2000,y_utm_sirgas2000
2512549,2024-01-01 00:30:00,2,BG,0.0,1013.63,9.5,27.38,69.48,92.67,1.7000000000000002,7.0,8.65,,,,,2.52,11.17,30.45,37.0,,-22.88790959,-43.47107415,656828.8045,7468074.5684
2512550,2024-01-01 01:30:00,2,BG,0.0,1012.88,9.83,27.13,70.92,94.0,2.45,5.78,5.06,,,,,2.56,7.63,34.6,60.0,,-22.88790959,-43.47107415,656828.8045,7468074.5684
2512551,2024-01-01 02:30:00,2,BG,0.0,1012.45,9.83,26.92,73.05,93.17,2.48,5.33,9.5,,,,,2.27,11.76,30.86,26.0,,-22.88790959,-43.47107415,656828.8045,7468074.5684
2512552,2024-01-01 03:30:00,2,BG,0.0,1012.17,11.5,26.82,67.43,53.83,0.8,5.65,20.28,,,,,2.77,23.05,18.4,27.0,,-22.88790959,-43.47107415,656828.8045,7468074.5684
2512553,2024-01-01 04:30:00,2,BG,0.0,1012.25,10.33,26.8,67.5,68.5,0.78,6.28,30.3,,,,,3.69,34.0,7.83,43.0,,-22.88790959,-43.47107415,656828.8045,7468074.5684
2512554,2024-01-01 05:30:00,2,BG,0.0,1012.65,19.83,26.8,66.27,64.5,0.8500000000000001,6.49,25.5,,,,,2.68,28.18,10.16,33.0,,-22.88790959,-43.47107415,656828.8045,7468074.5684
2512555,2024-01-01 06:30:00,2,BG,0.0,1012.98,70.33,26.8,69.2,80.33,1.6800000000000002,6.75,21.83,,,,,4.53,26.36,15.38,41.0,,-22.88790959,-43.47107415,656828.8045,7468074.5684
2512556,2024-01-01 07:30:00,2,BG,0.0,1012.87,154.17,26.8,70.67,85.5,3.12,5.63,13.7,,,,,5.1,18.8,28.36,43.0,,-22.88790959,-43.47107415,656828.8045,7468074.5684
2512557,2024-01-01 08:30:00,2,BG,0.0,1013.25,146.33,27.25,68.23,84.83,3.07,4.79,8.92,,,,,3.17,12.1,37.35,17.0,,-22.88790959,-43.47107415,656828.8045,7468074.5684
2512558,2024-01-01 09:30:00,2,BG,0.0,1013.5,142.83,27.48,68.25,88.33,2.52,4.8100000000000005,7.45,,,,,2.83,10.27,37.33,13.0,,-22.88790959,-43.47107415,656828.8045,7468074.5684
2512559,2024-01-01 10:30:00,2,BG,0.0,1013.87,162.33,27.58,68.3,44.5,1.1,4.79,8.34,,,,,3.29,11.64,35.76,20.0,,-22.88790959,-43.47107415,656828.8045,7468074.5684
2512560,2024-01-01 11:30:00,2,BG,0.0,1013.38,226.33,27.78,70.15,193.5,0.78,4.98,10.04,,,,,3.52,13.55,40.0,19.0,,-22.88790959,-43.47107415,656828.8045,7468074.5684
2512561,2024-01-01 12:30:00,2,BG,0.0,1012.77,219.67,28.15,68.55,87.83,1.17,5.19,9.64,,,,,3.73,13.36,48.0,19.0,,-22.88790959,-43.47107415,656828.8045,7468074.5684
2512562,2024-01-01 13:30:00,2,BG,0.0,1012.35,125.5,28.55,66.8,48.5,0.88,5.29,11.32,,,,,3.17,14.48,56.78,29.0,,-22.88790959,-43.47107415,656828.8045,7468074.5684
2512563,2024-01-01 14:30:00,2,BG,0.0,1011.68,108.5,28.6,66.68,100.17,1.78,5.41,12.78,,,,,2.94,15.71,50.76,23.0,,-22.88790959,-43.47107415,656828.8045,7468074.5684
2512564,2024-01-01 15:30:00,2,BG,0.0,1011.12,81.67,28.52,66.97,112.5,1.53,6.02,11.28,,,,,2.71,13.99,52.59,38.0,,-22.88790959,-43.47107415,656828.8045,7468074.5684
2512565,2024-01-01 16:30:00,2,BG,0.0,1010.73,79.83,28.42,68.77,92.0,1.6800000000000002,6.0,9.46,,,,,2.26,11.72,51.14,49.0,,-22.88790959,-43.47107415,656828.8045,7468074.5684
2512566,2024-01-01 17:30:00,2,BG,0.0,1010.83,38.17,28.32,70.68,108.17,1.78,5.34,8.41,,,,,2.29,10.7,46.26,28.0,,-22.88790959,-43.47107415,656828.8045,7468074.5684
